Date	Price	Open	High	Low	Vol	Change 	Nothing
2016/05/04	446	450	451	444	3944000	-0.99	0
2016/05/03	450	444	452	442	4975000	1.37	0
2016/05/02	444	452	454	440	7385000	-1.78	0
2016/05/01	452	449	454	448	2175000	0.83	0
2016/04/30	449	455	457	447	3531000	-1.42	0
2016/04/29	455	449	456	445	4485000	1.45	0
2016/04/28	449	447	450	434	8194000	0.33	0
2016/04/27	447	466	468	445	9081000	-4.08	0
2016/04/26	466	462	469	459	6756000	0.92	0
2016/04/25	462	458	466	452	8166000	0.91	0
2016/04/24	458	450	462	448	7443000	1.66	0
2016/04/23	450	445	452	443	4236000	1.08	0
2016/04/22	445	449	450	442	4971000	-0.90	0
2016/04/21	449	441	451	440	6313000	1.85	0
2016/04/20	441	435	443	433	7436000	1.43	0
2016/04/19	435	428	436	427	4568000	1.69	0
2016/04/18	428	426	429	424	3258000	0.34	0
2016/04/17	426	430	431	424	2559000	-0.88	0
2016/04/16	430	429	432	427	2902000	0.32	0
2016/04/15	429	424	430	423	5412000	1.10	0
2016/04/14	424	424	425	422	3066000	0.13	0
2016/04/13	424	425	427	421	3809000	-0.30	0
2016/04/12	425	421	427	421	5771000	0.79	0
2016/04/11	421	420	422	418	3639000	0.28	0
2016/04/10	420	418	422	417	2330000	0.53	0
2016/04/09	418	418	419	412	2943000	0.09	0
2016/04/08	418	420	424	416	4695000	-0.58	0
2016/04/07	420	421	422	418	3606000	-0.27	0
2016/04/06	421	422	423	420	3267000	-0.19	0
2016/04/05	422	419	424	418	4089000	0.65	0
2016/04/04	419	419	420	416	3344000	0.06	0
2016/04/03	419	419	420	417	2280000	0.13	0
2016/04/02	419	416	420	415	3131000	0.69	0
2016/04/01	416	416	417	413	3822000	0.00	0
2016/03/31	416	412	417	412	4184000	0.78	0
2016/03/30	412	415	416	408	4328000	-0.62	0
2016/03/29	415	422	425	406	6911000	-1.71	0
2016/03/28	422	425	425	420	4345000	-0.56	0
2016/03/27	425	417	427	416	6172000	1.94	0
2016/03/26	417	416	418	414	2806000	0.19	0
2016/03/25	416	415	417	412	3459000	0.23	0
2016/03/24	415	417	418	413	3883000	-0.54	0
2016/03/23	417	416	420	414	4061000	0.19	0
2016/03/22	416	411	418	411	4908000	1.24	0
2016/03/21	411	412	413	407	4316000	-0.10	0
2016/03/20	412	409	414	407	3054000	0.69	0
2016/03/19	409	408	411	402	3700000	0.13	0
2016/03/18	408	418	419	403	6607000	-2.39	0
2016/03/17	418	416	420	415	4382000	0.54	0
